id;Name;Sex;Typ;Partei;Herkunft;Alter;erster_Abschluss;zweiter_Abschluss;dritter_Abschluss;Uniabschluss;Praktiker;Fachrichtung;Historie_Bundesland;Typ_Einrichtung;Ranking;Zugehörigkeit;Land
1;Oezdemir,Cem;2;2;3;2;3;1;2;3;1;1;5;1;;;;
2;Moerseburg,Maximilian;2;2;1;2;2;2;3;;5;1;6;1;;;;
3;Biadacz,Marc;2;2;1;2;2;2;3;5;1;1;8;1;;;;
4;Gruebel,Markus;2;2;1;2;3;2;5;5;0;1;6;1;;;;
5;Hennrich,Michael;2;2;1;2;3;2;3;5;5;1;6;1;;;;
6;Färber,Hermann;2;2;1;2;3;1;5;5;0;1;2;1;;;;
7;Stumpp,Christina;1;2;1;2;2;1;2;3;1;1;7;1;;;;
8;Bilger,Steffen;2;2;1;2;2;2;4;5;5;1;6;1;;;;
9;Gramling,Fabian;2;2;1;2;2;1;2;3;2;1;9;1;;;;
10;Throm,Alexander;2;2;1;2;3;2;4;5;5;1;6;1;;;;
11;Freiherr_von_Stetten,Christian;2;2;1;2;3;2;4;5;1;1;9;1;;;;
12;Dr_Graeßle,Ingeborg;1;2;1;2;3;2;4;4;3;1;4;1;;;;
13;Kiesewetter,Roderich;2;2;1;2;3;2;4;4;1;1;10;1;;;;
14;Mayer,Zoe;1;2;3;2;2;2;4;5;2;2;8;1;;;;
15;Zippelius,Nicolas;2;2;1;2;2;2;4;5;1;1;4;1;;;;
16;Whittaker,Kai;2;2;1;2;2;2;4;4;2;2;4;1;;;;
17;Dr_Brantner,Franziska;1;2;3;2;2;2;4;4;3;1;8;1;;;;
18;Cademartori_Dujisin,Isabel;1;2;2;11;2;2;4;4;2;2;1;2;;;;
19;Warken,Nina;1;2;1;2;2;2;4;4;5;1;6;1;;;;
20;Oppelt,Moritz;2;2;1;2;2;2;4;4;5;1;6;1;;;;
21;Gutting,Olav;2;2;1;2;3;2;4;4;5;1;6;1;;;;
22;Krichbaum,Gunther;2;2;1;2;3;2;4;4;5;1;6;1;;;;
23;Mack,Klaus;2;2;1;2;2;2;3;5;5;1;7;1;;;;
24;Kopf,Chantal;1;2;3;2;2;2;4;4;2;2;8;1;;;;
25;Stoecker,Diana;1;2;1;4;3;2;4;5;1;1;7;1;;;;
26;Bury,Yannick;2;2;1;2;2;2;4;4;2;1;9;1;;;;
27;Dr_Schaeuble,Wolfgang;2;2;1;2;3;2;4;4;3;1;6;1;;;;
28;Weiss,Maria-Lena;1;2;1;2;2;2;;;;;;;;;;
29;Frei,Thorsten;2;2;1;2;2;2;4;4;5;1;6;1;;;;
30;Jung,Andreas;2;2;1;2;2;2;4;5;5;1;6;1;;;;
31;Schreiner,Felix;2;2;1;2;2;1;2;3;1;1;7;1;;;;
32;Donth,Michael;2;2;1;2;3;2;3;5;1;1;7;1;;;;
33;Widmann-Mauz,Annette;1;2;1;2;3;2;5;5;0;2;8;1;;;;
34;Kemmer,Ronja;1;2;1;2;2;2;4;4;2;1;9;1;;;;
35;Rief,Josef;2;2;1;1;3;5;6;5;0;1;2;1;;;;
36;Mayer-Lay,Volker;2;2;1;2;2;2;4;5;5;1;6;1;;;;
37;Müller,Axel;2;2;1;2;3;2;4;5;5;1;6;1;;;;
38;Bareiß,Thomas;2;2;1;2;2;2;4;5;1;1;9;1;;;;
39;Evangelische-Hochschule_Ludwigsburg;;1;;;;;;;;;;;1;2;3;1
